chunk_text,manuel,compound_score,sentiment_label,compound_score_trad
Le Certificat Sanitaire Mondial Et bien oui tu as bien entendu Un certificat sanitaire mondial une carte didentité virtuelle un sceau numérique qui atteste de ton état de santé et qui pourrait potentiellement déterminer où tu peux aller et ce,0.6,0.0,neutre,0.5859
que tu pourras faire Alors pour certains ça peut sembler une solution de facilité dans notre monde postpandémique n’estce pas Mais en grattant un peu la surface nous découvrons une réalité beaucoup plus inquiétante Ce pass a été furtivement annoncé,0.6,0.3182,positif,-0.5407
début juin Cependant il y a quelque chose qui m’interpelle lorsque le pass sanitaire est apparu dans chaque pays en 2020 le monde entier s’est levé et a crié au manque de liberté Il y a eu un flot de,0.8,0.0,neutre,0.4404
rebelles et une guerre féroce s’est mise en place pour les nonvaccinés avec tout le lot de faux pass qu’on voyait défiler sur tous les réseaux Bref tout le monde était en ébullition Et il y avait de quoi Mais,0.8,0.25,négatif,-0.431
là une carte d’identité numérique mondiale sur ton état de santé et presque un silence radio Je me pose tout de même des questions Ça peut sembler une idée séduisante pour certains Après tout qui ne voudrait pas savoir si,0.3,0.25,négatif,0.3975
létranger assis à côté de nous dans le bus est en bonne santé Qui ne voudrait pas savoir si mon voisin n’est pas atteint d’une maladie dangereuse Qui ne voudrait pas savoir si sa prochaine copine n’est pas contagieuse Mais,0.6,0.0,neutre,0.7038
tu connais le proverbe qui dit que le diable est toujours dans les détails Début juin le 5 pour être précis sans consulter personne la commissaire européenne à la santé Stella Kyriakides a signé un partenariat avec lOMS pour lancer,0.6,0.0,neutre,-0.6597
une initiative historique en matière de santé numérique En gros le certificat européen de la crise sanitaire qui devait disparaître ce moisci sera désormais déployé à léchelle mondiale Et là je suis scotché Les parlementaires européens ont été mis de,0.8,0.0,neutre,-0.7184
côté leur voix na pas été prise en compte Pas une seule fois On dirait que les bonnes habitudes démocratiques se perdent de plus en plus au sein de lUnion Européenne Si habitudes démocratiques il y a déjà eu Fin,0.8,0.0,neutre,0.3702
de parenthèse Donc la commissaire européenne à la santé semble avoir pris le contrôle total ignorant totalement lavis des parlementaires ou même des États membres Et je ne te parle même pas des voix des citoyens qui dans la liste,0.8,0.2732,négatif,-0.4576
n’apparaissent même pas en tout petit caractère en bas du contrat Mais si tu actives un peu ta mémoire tu verras que cest une façon de faire qui semble familière nestce pas En effet ça rappelle la manière dont la,0.6,0.1531,positif,0.5499
présidente de la Commission Européenne Ursula von der Leyen a négocié seule et en secret avec le PDG de Pfizer Albert Burla le montant des contrats concernant les vaccins de la crise sanitaire de 2020 Je pense qu’on se rappelle,0.6,0.0,neutre,-0.7269
tous de cet évènement Je tiens tout de même à rappeler qu’en 2021 les experts de lOMS étaient contre le pass vaccinal affirmant que cela pourrait augmenter les inégalités et promouvoir une liberté de circulation différenciée Ce qui est du,0.6,0.128,négatif,0.8555
bon sens et surtout ce qui va dans le sens des droits de l’homme en matière de liberté quant à choisir la manière dont chacun veut se soigner Mais aujourdhui Mme Kyriakides signe un accord avec lOMS pour que le,0.3,0.0,neutre,0.8316
certificat de santé soit une référence dans lensemble du monde Où est la cohérence Mais bon disons que le bon sens ne soit plus une qualité de l’esprit humain et qu’il devient normal d’entendre un politicien un président une présidente,0.8,0.0,neutre,-0.4215
un député et même un journaliste annoncer une chose aujourd’hui et son contraire demain En même temps nous avons tous été habitués à cela pendant les années 20202022 et donc sur le plan psychologique nous sommes déjà préprogrammés à ce,0.8,0.0,neutre,0.0
genre de pratiques en tout cas ça en a tout l’air Mais ok Imaginons que le bon sens n’existe plus mais alors que dire de la protection des données En 2021 le Comité européen de la protection des données mettait,0.8,0.4215,négatif,0.1901
en garde contre les risques du certificat numérique concernant la protection des données personnelles et les atteintes aux libertés et droits fondamentaux Thierry Breton le commissaire européen au marché intérieur semble ignorer cette préoccupation Il déclare être ravi que lOMS,0.8,0.3182,négatif,-0.25
sappuie sur les principes de protection de la vie privée et la technologie de pointe du certificat de lUE Mais peuton vraiment croire que nos données personnelles seront en sécurité Pendant le même temps Michèle Rivasi députée européenne et membre,0.6,0.0,neutre,0.5574
d’Europe écologie les verts elle par exemple ne le pense pas Elle craint que nos données personnelles puissent être hackées quelles puissent être prises par dautres organismes intéressés par les données de santé Et elle a raison de se poser,0.6,0.0,neutre,0.3875
la question car je me la pose aussi et très sérieusement Où sont les gardefous Comment être sûr que nos données de santé n’iront pas dans les mains d’agents d’assurance de banquiers d’employeurs de loueurs de maison etc Si je,0.8,0.0,neutre,0.079
connais ta santé je peux mieux te contrôler Tu pourrais te voir refuser un jour l’accès au soin médical à ton assurance maladie ou même à un nouvel emploi sous prétexte que tu n’es pas à jour dans tes vaccins,1,0.34,positif,0.5994
par exemple Ensuite nous devons également nous demander estce que cela signifie que nous nous dirigeons vers un gouvernement mondial de la santé Une entité qui aurait le pouvoir de dicter les directives de santé à léchelle mondiale sans avoir,0.8,0.0,neutre,0.0
à répondre aux citoyens ou à leurs représentants élus Cest la crainte de Virginie Joron membre de la commission COVI qui sinquiète des risques de dérive de gouvernance liés à la mise en place dun tel certificat Les possibilités dabus,0.6,0.0,neutre,-0.6486
de pouvoir sont effrayantes Qui nous dit quun jour ce certificat ne pourrait pas être utilisé pour suivre nos déplacements l’autorisation de voyager dans un pays nos interactions et même nos habitudes personnelles Cela ressemble à une dystopie nestce pas,0.8,0.0,neutre,-0.1779
Pourtant cest une réalité à laquelle nous pourrions être confrontés beaucoup plus rapidement qu’on ne le croit Et quen estil des autres outils numériques à venir Ce nouveau pass opérationnel depuis le 5 juin est annoncé comme étant le premier,0.8,0.0,neutre,0.0
élément du Réseau mondial de certification sanitaire numérique de lOMS qui développera une large gamme de produits numériques pour améliorer la santé de tous Mais quelles sont ces menaces sanitaires croissantes dont ils parlent Nous ne savons pas Tout ce,0.8,0.128,négatif,-0.1779
quils nous demandent cest de croire que tous ces produits numériques vont nous sauver et sont parfaitement justifiés Alors comme pendant la crise de 2020 tu as le choix de rester silencieux ou de faire entendre ta voix car elle,0.8,0.0,neutre,0.7184
est importante Tu peux déjà signer la pétition de Florent Cavaler à l’intention de Madame la 1ère ministre Elisabeth Borne Il faut 150k signatures il en manque 29K tu a la lien dans le 1er commentaire Ensuite tu peux dès,0,0.0,neutre,0.2023
à présent te poser la question dans quel camp tu vas te placer quant à l’obligation de ce certificat de santé mondiale et il n’y en a que 3 Suivre toutes les consignes et rentrer dans le rang sans te,0.8,0.0,neutre,0.0
poser de questions Le rejeter et devenir hors normes de cette société en étant bien sûr directement reconnaissable et fiché comme tel Te faire pote avec le meilleur hacker du monde et faire comme Néo dans Matrix te fondre dans,0.8,0.0,neutre,0.802
la masse pour ne pas être repéré mais rester libre de tes actions Ce nest pas juste une question de santé cest une question de liberté de démocratie et de protection de nos droits fondamentaux A plus tard dans la,0.8,0.5423,négatif,0.9052
vie,0.,0.0,neutre,0.0
