chunk_text,manuel,compound_score,sentiment_label,compound_score_trad
Musique berkov dans tous ses états ça balance pas mal sur Sud Radio Dans ce monde là veut se ranger derrière une gouvernance qui est gouvernante un peu spéciale et je parle de la gouvernance de lOrganisation Mondiale de la,0,0.0,neutre,0.3415
Santé bonjour Michèle Rivasi bonjour bonjour vous êtes députée européenne Europe Écologie Les Verts et vous avez écrit ceci vous avez tweeté ceci Michèle rivasi et on est toujours heureux de vous accueillir lOMS mondialise le certificat numérique européen sur,0.3,0.0,neutre,0.7717
quelle base légale la Commission européenne sest appuyée car la commissaire Kyriakidès a lancé le réseau mondial de certificat avec lOMS Alors on en a déjà on en a déjà parlé mais estce que ce projet avance estce que vraiment,0.3,0.0,neutre,0.128
lOMS est prête si vous voulez en fait régenter la santé du monde de cette manière alors c’est une initiative en fait de la Commission européenne au départ vous savez quand on a eu ce certificat numérique sur le covid,0.3,0.0,neutre,0.4754
il prend fin au mois de juillet en Europe parce quen fait cest un outil informatique qui permettait de savoir si vous étiez vacciné si vous avez fait un test et cetera et là en fait la commission l’a donné,0,0.0,neutre,0.0
à lOMS pour lui dire que cest un certificat hyper efficace et que si lOMS le veut elle pourra sen servir pour euh en cas de nouvelles pandémie et bien de savoir si les gens sont vaccinés ou pas sils,0,-0.4588,negatif,0.4767
ont un test positif ou pas et cetera daccord et là il y a des pays comme lAllemagne comme la France comme lAutriche comme la Bulgarie quon dit mais et comme des députés européens qui ont dit mais enfin questce,0,0.0,neutre,0.9382
que cest cette histoire dabord on en a pas parlé au Parlement européen cest une initiative de la Commission européenne qui a qui est allée voir lOMS en lui disant écoutez cet outil on vous le donne et même on,0.8,0.0,neutre,0.0
vous finance une partie ah oui on vous le recommande et on le finance c’est ça Oui on va financer le début du fonctionnement de cet outil pour que lOMS s’en serve mais on a posé la question sur quelle,0.3,0.0,neutre,0.7845
base légale et ils nous ont donné une base légale ou ils excluent le Parlement européen et puis même une base légale qui était sur les transports alors les États membres ont dit mais ça na rien à voir làdessus,0.8,0.0,neutre,0.0387
et moi jai posé aussi une autre question qui a posé dailleurs lAutriche cest estce que cest spécifiquement sur un nouveau virus si il y a une pandémie demain ou est ce que ça peut concerner des vaccins comme la,0.6,0.0,neutre,0.0644
polio comme la fièvre jaune comme le Palu et cetera et en fait on sait rien làdessus Ah ils nont pas répondu pour le moment rien et tout est possible tout est possible d’accord et moi je pose une question,0.8,-0.25,négatif,0.7579
en disant question en disant cet outil informatique quon a utilisé en Europe qui était en 2021 critiqué par l’OMS ellemême en disant que ça allait être discriminatoire d’avoir cet outil discriminatoire davoir cet outil maintenant elle accepte la Commission,0.8,0.0,neutre,0.3612
européenne va en financer un début de fonctionnement parce que c’est vraiment un outil informatique et Et elle ma dit même hier donc cest tout récent quen fait les États membres allaient faire ce quil voulait ceux qui voulaient pas,0.6,-0.128,négatif,-0.0516
lutiliser ils allaient pas lutiliser et ceux qui veulent lutiliser continueront à lutiliser donc moi je trouve que cest très dangereux parce que un je sais toujours pas sur quelle base légale et puis surtout ça peut être un outil,0.8,0.0,neutre,-0.0572
de traçage ça peut être un outil de surveillance de quel droit lOMS lEurope va lui donner cet outil pour surveiller la population mondiale donc et puis alors on parle beaucoup de migration vous voyez ça sera un outil incroyable,1,0.0,neutre,-0.3804
aussi visàvis de la des migrants en leur disant vous êtes vaccinés vous navez pas été vacciné et puis on utilisera bon on a utilisé le covid à une époque et puis maintenant on peut utiliser la fièvre jaune le,0.8,0.0,neutre,0.0
Palu et cetera polio donc et cetera donc moi tous ces outils informatiques où on na pas de déléments si vous voulez de de surveillance pour garantir les droits humains moi je franchement je trouve que on donne beaucoup de,0.6,0.0,neutre,0.4404
pouvoir à lOMS et que les États membres ont pas assez réagi parce que hier jai appris également il y a eu une résolution qui a été signée par les États membres donc malgré leurs critiques ils ont quand même,0.6,0.0,neutre,0.0258
signé ils ont signé pour approuver cela donc pour approuver cela le parlement européen a été mis à lécart comme dhabitude cest à dire tout se passe en dehors du Parlement européen cest la Commission européenne qui envoie ça qui,0.8,-0.5423,négatif,0.2334
dit allezy lOMS allezy mais Michèle Rivasi merci on continuera à suivre avec vous mais franchement ça devient hallucinant tous ces plans qui se font dans le dos des parlements et dans le dos des peuples cest quand même assez,0.8,0.0,neutre,0.0
préoccupant,0.6,0.0,neutre,0.5284
